"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 20:51:03 MSK 2024","Tue May 14 20:51:04 MSK 2024","239","","Update user tests","","tests.UpdateUserTests","updateUserWithPutTest","Update User Data with Put method",""
"passed","Tue May 14 20:51:03 MSK 2024","Tue May 14 20:51:03 MSK 2024","182","","Resource list data tests","","tests.ResourceListTests","listDataTest","Check element with id = 3 data",""
"passed","Tue May 14 20:51:03 MSK 2024","Tue May 14 20:51:03 MSK 2024","236","","Update user tests","","tests.UpdateUserTests","updateUserWithPatchTest","Update User Data with Patch method",""
"passed","Tue May 14 20:51:02 MSK 2024","Tue May 14 20:51:02 MSK 2024","224","","Login tests","","tests.LoginTests","successfulLoginTest","Successful login check",""
"passed","Tue May 14 20:51:02 MSK 2024","Tue May 14 20:51:02 MSK 2024","288","","User deletion tests","","tests.DeleteUserTests","deleteUserTest","Successful user deletion check",""
"passed","Tue May 14 20:51:02 MSK 2024","Tue May 14 20:51:02 MSK 2024","220","","Registration tests","","tests.RegistrationTests","unsuccessfulRegistrationTest","Registration without password check",""
"passed","Tue May 14 20:51:02 MSK 2024","Tue May 14 20:51:03 MSK 2024","223","","Registration tests","","tests.RegistrationTests","successfulRegistrationTest","Successful registration check",""
"passed","Tue May 14 20:50:59 MSK 2024","Tue May 14 20:51:01 MSK 2024","2235","","New user tests","","tests.CreateUserTests","successfulCreateUserTest","Successful new user check",""
"passed","Tue May 14 20:51:03 MSK 2024","Tue May 14 20:51:03 MSK 2024","177","","Resource list data tests","","tests.ResourceListTests","perPageValueTest","Per_page value check in resource list",""
"passed","Tue May 14 20:51:02 MSK 2024","Tue May 14 20:51:02 MSK 2024","220","","Login tests","","tests.LoginTests","unsuccessfulLoginTest","Login without password check",""
